program,n,threads,param_name,param_value,avg_time
serial,100000,1,-,-,0.001457
serial,1000000,1,-,-,0.013800
serial,10000000,1,-,-,0.112832
serial_nonuniform,100000,1,-,-,0.199002
serial_nonuniform,1000000,1,-,-,1.925160
A_noReduction,100000,1,-,-,0.003300
A_noReduction,100000,2,-,-,0.006400
A_noReduction,100000,3,-,-,0.006600
A_noReduction,100000,4,-,-,0.007050
A_noReduction,1000000,1,-,-,0.026000
A_noReduction,1000000,2,-,-,0.047150
A_noReduction,1000000,3,-,-,0.041350
A_noReduction,1000000,4,-,-,0.042300
A_noReduction,10000000,1,-,-,0.242700
A_noReduction,10000000,2,-,-,0.395150
A_noReduction,10000000,3,-,-,0.355950
A_noReduction,10000000,4,-,-,0.357950
A_reduction,100000,1,-,-,0.001650
A_reduction,100000,2,-,-,0.001500
A_reduction,100000,3,-,-,0.001200
A_reduction,100000,4,-,-,0.001200
A_reduction,1000000,1,-,-,0.013550
A_reduction,1000000,2,-,-,0.009000
A_reduction,1000000,3,-,-,0.006850
A_reduction,1000000,4,-,-,0.005750
A_reduction,10000000,1,-,-,0.120100
A_reduction,10000000,2,-,-,0.068850
A_reduction,10000000,3,-,-,0.052050
A_reduction,10000000,4,-,-,0.042600
B_static,100000,1,chunk,100,0.193500
B_static,100000,1,chunk,1000,0.190700
B_static,100000,1,chunk,10000,0.190350
B_static,100000,2,chunk,100,0.100550
B_static,100000,2,chunk,1000,0.101550
B_static,100000,2,chunk,10000,0.108650
B_static,100000,3,chunk,100,0.068650
B_static,100000,3,chunk,1000,0.072450
B_static,100000,3,chunk,10000,0.081400
B_static,100000,4,chunk,100,0.057450
B_static,100000,4,chunk,1000,0.055450
B_static,100000,4,chunk,10000,0.068550
B_static,1000000,1,chunk,100,1.870200
B_static,1000000,1,chunk,1000,1.895950
B_static,1000000,1,chunk,10000,1.890050
B_static,1000000,2,chunk,100,0.949650
B_static,1000000,2,chunk,1000,0.954250
B_static,1000000,2,chunk,10000,0.956450
B_static,1000000,3,chunk,100,0.638100
B_static,1000000,3,chunk,1000,0.654850
B_static,1000000,3,chunk,10000,0.648150
B_static,1000000,4,chunk,100,0.492200
B_static,1000000,4,chunk,1000,0.489950
B_static,1000000,4,chunk,10000,0.497300
B_dynamic,100000,1,chunk,100,0.191200
B_dynamic,100000,1,chunk,1000,0.191600
B_dynamic,100000,1,chunk,10000,0.206150
B_dynamic,100000,2,chunk,100,0.099900
B_dynamic,100000,2,chunk,1000,0.100750
B_dynamic,100000,2,chunk,10000,0.107750
B_dynamic,100000,3,chunk,100,0.071100
B_dynamic,100000,3,chunk,1000,0.069600
B_dynamic,100000,3,chunk,10000,0.080350
B_dynamic,100000,4,chunk,100,0.052900
B_dynamic,100000,4,chunk,1000,0.054000
B_dynamic,100000,4,chunk,10000,0.068100
B_dynamic,1000000,1,chunk,100,1.861050
B_dynamic,1000000,1,chunk,1000,1.860850
B_dynamic,1000000,1,chunk,10000,1.887900
B_dynamic,1000000,2,chunk,100,0.945350
B_dynamic,1000000,2,chunk,1000,0.943000
B_dynamic,1000000,2,chunk,10000,0.970600
B_dynamic,1000000,3,chunk,100,0.632850
B_dynamic,1000000,3,chunk,1000,0.634250
B_dynamic,1000000,3,chunk,10000,0.647950
B_dynamic,1000000,4,chunk,100,0.495750
B_dynamic,1000000,4,chunk,1000,0.485550
B_dynamic,1000000,4,chunk,10000,0.496300
B_guided,100000,1,chunk,100,0.190500
B_guided,100000,1,chunk,1000,0.190050
B_guided,100000,1,chunk,10000,0.191750
B_guided,100000,2,chunk,100,0.101000
B_guided,100000,2,chunk,1000,0.100250
B_guided,100000,2,chunk,10000,0.102450
B_guided,100000,3,chunk,100,0.071350
B_guided,100000,3,chunk,1000,0.069700
B_guided,100000,3,chunk,10000,0.076350
B_guided,100000,4,chunk,100,0.055100
B_guided,100000,4,chunk,1000,0.054600
